Назва,Стан,Категорія,Місцезнаходження,Переможець,"Номер лота","Стартова ціна","Ціна продажу"
"Трактор БЕЛАРУС-892 з комплектом ЗІП, 2017 року випуску, реєстраційний номер 25884СВ, заводський № 90833744, двигун № 972537","Торги відбулися",Сільгосптехніка,"Сумська обл.","Учасник №17",410022,235416.67,235416.67
"Металевий балон з хладогентом марки ""Bestcool 404А"" вагою 10,9 кг у кількості 4 шт","Торги відбулися",Інше,"Чернівецька обл.","Учасник №2",410040,5415.00,5415.00
"ІПОТЕКА. Садовий будинок площею 172,8 кв.м., та земельна ділянка площею 0,06 га, кадастровий номер: 5123783500:01:001:1086, за адресою: Одеська обл., Овідіопольський р-н, Прилиманська с/р, СТ «Будівельник», № 103 ","Торги не відбулися","Житлова нерухомість","Одеська обл.",,410044,439590.90,
"Металевий балон з хладогентом марки ""Bestcool 410А"" вагою 11,3 кг у кількості 3 шт","Торги відбулися",Інше,"Чернівецька обл.","Учасник №4",410046,1881.00,2069.10
"Паливний бак до мотоцикла ""KTM DUKE""","Торги відбулися",Запчастини/аксесуари,"Чернівецька обл.","Учасник №1",410050,802.00,1112.00
"Глушник до мотоцикла, іноземного виробництва, 2 шт","Торги відбулися",Запчастини/аксесуари,"Чернівецька обл.","Учасник №1",410052,665.00,665.00
"ІПОТЕКА. Домоволодіння, загальною площею 48,0 кв.м., за адресою: Запорізька область, Василівський район, м. Василівка, вул. Софіївська (Кірова), буд. 4","Торги не відбулися","Житлова нерухомість","Запорізька обл.",,410053,26294.10,
"Паливний бак до мотоцикла ""MT YAMAHA""","Торги відбулися",Запчастини/аксесуари,"Чернівецька обл.","Учасник №1",410054,537.00,1116.00
"ІПОТЕКА. Трикімнатна квартира, загальною площею 68,5 кв.м., за адресою: м. Запоріжжя, вул. Чумаченка, буд. 23, кв. 248","Торги не відбулися","Житлова нерухомість","Запорізька обл.",,410058,361397.40,
"Бортовий комп'ютер до мотоцикла, б/в, іноземного виробництва","Торги відбулися",Запчастини/аксесуари,"Чернівецька обл.","Учасник №1",410061,249.00,249.00
"ІПОТЕКА. Житловий будинок загальною площею 79,1 кв.м., та земельна ділянка площею 1000 кв.м., КН 2323910100:01:015:0066, за адресою: Запорізька область, Оріхівський район, м. Оріхів, вул. Травнева (Першотравнева), буд. 83","Торги не відбулися","Житлова нерухомість","Запорізька обл.",,410065,69900.60,
"Житловий будинок, загальною площею 190,4 кв.м. за адресою: м. Миколаїв, вул. Чкалова, 145/4","Торги не відбулися","Житлова нерухомість","Миколаївська обл.",,409764,5300000.00,
"Нежитловий об'єкт, загальною площею 1424.3 кв.м за адресою: м. Миколаїв, вул. Янтарна, 318/8","Торги припинено","Нежитлове приміщення","Миколаївська обл.",,409803,503988.00,
"ІПОТЕКА: Земельна ділянка площею 0,1537 га, кадастровий №6322083001:00:000:1614, за адресою: Харківська обл., Дергачівський район, Черкаська Лозова, вул. Космічна, 70","Торги не відбулися","Земельні ділянки","Харківська обл.",,409995,103100.00,
"Транспортний засіб марки ВАЗ 21150, реєстраційний номер ВС5382АО, 2006 року випуску, № куз. ХТА21150064215303, чорного кольору, об'єм двигуна - 1500 см. куб., бензин","Торги відбулися","Легкові автомобілі","Львівська обл.","Учасник №32",410087,28338.00,28338.00
"Іпотека: нежитлова будівля (склад міндобрив), заг. пл. 3405.4 м.кв., за адресою: Львівська обл., м. Самбір, вул. Промислова, 5-Б","Торги не відбулися",Будівлі,"Львівська обл.",,410103,1165710.00,
"ІПОТЕКА. Житловий будинок, загальною площею 113,6 кв.м., розташований за адресою: Одеська область, Любашівський район, смт Любашівка, вул. Водопровідна, 1-А","Торги не відбулися","Житлова нерухомість","Одеська обл.",,409475,70900.00,
"Транспортний засіб марки ВАЗ 21063, 1981 року випуску, ДНЗ: ВС0423НС № куз. ХТА210630С0721054, червоного кольору, об'єм двигуна - 1285 см. куб., бензин","Торги відбулися","Легкові автомобілі","Львівська обл.","Учасник №3",410122,4963.00,4963.00
"Рухоме майно, згідно Постанови про опис та арешт майна (коштів) боржника ВП №56814065 від 01.10.2018, виданої Галицьким відділом державної виконавчої служби міста Львів ГТУЮ у Львівській області","Торги не відбулися","Аукціон із різнотипних товарів","Львівська обл.",,410125,47661.75,0.00
"ІПОТЕКА. Двокімнатна квартира заг. пл. 44,3 кв.м., за адресою: Дніпропетровська область, м. Кривий Ріг, вул. Ватутіна, буд. 40, кв. 1","Підписання протоколу","Житлова нерухомість","Дніпропетровська обл.","Учасник №4",410114,109760.00,109760.00
"ІПОТЕКА. Двокімнатна квартира, загальною площею 44,9 кв.м, за адресою: Чернігівська обл., м. Чернігів, вул. Партизанська, буд. 53, кв. 18 ","Торги не відбулися","Житлова нерухомість","Чернігівська обл.",,409804,436408.00,
"Іпотека. Чотирикімнатна квартира, заг. пл.65,2 кв.м., житл. пл. 46,2 кв.м. за адресою: Дніпропетровська обл., м. Кам'янське, вул. Васильєва, 60, кв. 28","Торги не відбулися","Житлова нерухомість","Дніпропетровська обл.",,410111,107100.00,
"ІПОТЕКА. Трикімнатна квартира заг. пл. 69,9 кв.м., за адресою: Дніпропетровська область, м. Кривий Ріг, м/н. Всебратське-2, буд. 52, кв. 63","Торги не відбулися","Житлова нерухомість","Дніпропетровська обл.",,410112,188300.00,
"ІПОТЕКА. Двокімнатна квартира загальною площею 48.8 кв.м., за адресою: м. Одеса, Люстдорфська дорога, буд. 31-В, кв. 3","Торги не відбулися","Житлова нерухомість","Одеська обл.",,409937,1076339.00,
"Добровільний продаж. Житловий будинок з прибудовами, мансардою площею 126,1 кв.м та земельна ділянка площею 0,0531га, КН: 7110136700:04:019:0061, за адресою: м. Черкаси, вул. Смілянська, буд. 50","Торги відбулися","Житлова нерухомість",м.Київ,"Учасник №1",409185,1708576.43,1708576.43
"ІПОТЕКА. Гараж, площею 70.2 кв. м., що знаходиться за адресою: Тернопільська обл., м. Кременець, вул. Куличівка, 90","Торги не відбулися",Гаражі/стоянки,"Тернопільська обл.",,409994,57446.00,
"ІПОТЕКА. 1/4 частки трикімнатної квартири, заг. пл. 68.3 кв.м., що знаходиться за адресою: м. Львів, вул. Скрипника, буд. 31а, кв. 20","Складання акту","Житлова нерухомість","Львівська обл.","Учасник №1",410133,168910.00,168910.00
"ІПОТЕКА. Нежитлова будівля - деревообробний цех, загальною площею 990.90 кв.м., що знаходиться за адресою: Тернопільська обл., Теребовлянський р-н, с. Мшанець, вул. Миру 10В","Торги не відбулися",Будівлі,"Тернопільська обл.",,410001,190380.00,
"ІПОТЕКА. Нежитлове приміщення пилорами, загальною площею 288.90 кв.м., що знаходиться за адресою: Тернопільська обл., Теребовлянський р-н, с. Мшанець, вул. Миру, 10А","Торги не відбулися","Нежитлове приміщення","Тернопільська обл.",,409998,41130.00,
"Іпотека. Трикімнатна квартира загальною площею 57,6 кв.м. за адресою: Дніпропетровська обл., м.Дніпро, вул. С.Ковалевської, буд. 75, кв. 132","Торги зупинено","Житлова нерухомість","Дніпропетровська обл.",,410042,413200.00,
"Іпотека. Житловий будинок з вбудованим магазином та надвірними будівлями загальна площа 286.5 кв.м. та земельна ділянка загальна площа 0.1000 га, кадастровий № 5625410100:01:023:0089, адреса: Рівненська область, Сарненський район, м. Сарни, вул. Дундича, 6","Торги не відбулися","Житлова нерухомість","Рівненська обл.",,410156,1113640.00,
"ІПОТЕКА. Домоволодіння, загальною пощею 39.3 кв.м. та земельна ділянка, площею 0.2022 га, К/Н: 3221282401:01:024:0023, за адресою: Київська обл., Броварський р-н, с. Заворичі, вул. Леніна, 74","Торги не відбулися","Житлова нерухомість",м.Київ,,409993,104100.00,
"ІПОТЕКА: Однокімнатна квартира № 134, загальною площею 59.5 кв.м., за адресою: м. Київ, вул. Вадима Гетьмана, 1-А","Торги не відбулися","Житлова нерухомість",м.Київ,,410157,1739850.00,
"Предмет іпотеки. Двокімнатна квартира, загальною площею: 69.4 кв.м., місцезнаходження майна: Рівненська область, м. Здолбунів, вул. Пушкіна 13, квартира 2","Складання акту","Житлова нерухомість","Рівненська обл.","Учасник №5",410159,257760.30,257760.30
"Нежитлова будівля корівника літ. А-1, заг. пл. 782.3 м.кв., що знаходиться за адресою: Львівська обл., Мостиський р., с. Довгомостиська, вул. Вишнева, 26-г ","Торги не відбулися",Будівлі,"Львівська обл.",,410160,1090309.00,
"Будівлі пл. 1556.5 м2; пл.1503.4 м2; за адр.: Львівська обл., Городоцький р., с. Керниця, вул. Миру, 1М; за адр.: Львівська обл., Городоцький р., с. Керниця, вул. Миру, 1Л; Водонапірна вежа, за адр.: Львівська обл., Городоцький р., с. Керниця, вул. Миру,1Н","Торги не відбулися",Будівлі,"Львівська обл.",,409996,1377650.00,
"Предмет Іпотеки. Житловий будинок загальна площа: 60.4 кв.м. та земельна ділянка загальна площа: 0.244 га, кадастровий № 5622682000:01:001:0525, адреса: Рівненська область, Здолбунівський район, с. Здовбиця, вул. Шевченка, 11","Торги припинено","Житлова нерухомість","Рівненська обл.",,410163,339239.20,
"ІПОТЕКА: Житловий будинок в літ. ""А-1"" загальною площею 95,1 кв.м. розташований на земельній ділянці площею 0,1 га кадастровий № 6312000000:08:001:0021, за адресою: Харківська обл.,м. Чугуїв, вул. Каляєва,6","Торги не відбулися","Житлова нерухомість","Харківська обл.",,410164,288400.00,
"Добровільний продаж. Металобрухт чорний (сталь та чавунні люки) в кількості 50000 кг","Складання акту",Брухт,м.Київ,"Учасник №13",409957,150000.00,212700.00
"Предмет іпотеки. Земельна ділянка, загальною площею: 0.10 га, кадастровий номер: 5623410100:05:001:0219, місцезнаходження майна: Рівненська область, Костопільський район, м. Костопіль, вул. Виноградна, 74","Торги не відбулися","Земельні ділянки","Рівненська обл.",,410181,42175.00,
"Предмет іпотеки: двокімнатна квартира загальною площею 51,4  кв.м, що розташована за адресою: м. Полтава, вул. Героїв Сталіграду, 14, корп. 1, кв. 4","Торги відбулися","Житлова нерухомість","Полтавська обл.","Учасник №12",410199,272800.00,455000.00
"ІПОТЕКА. Двокімнатна квартира, загальною площею 81,38 кв.м., за адресою: м. Запоріжжя, вул. Жуковського, буд. 82, кв. 12","Торги не відбулися","Житлова нерухомість","Запорізька обл.",,410204,506570.40,
"Предмет іпотеки. Земельна ділянка, загальною площею 0.25 га, кадастровий номер: 5624684100:03:015:0135, місцезнаходження майна: Рівненська область, Рівненський район, с. Дядьковичі","Торги не відбулися","Земельні ділянки","Рівненська обл.",,410150,157550.00,
"Садок для зберігання водних біоресурсів","Торги відбулися",Інше,"Хмельницька обл.","Учасник №1",410212,18.75,20.00
"Садок для зберігання водних біоресурсів","Торги відбулися",Інше,"Хмельницька обл.","Учасник №1",410213,18.75,20.00
"ІПОТЕКА. Земельна ділянка, загальною  площею 20.7737 га, К/Н: 3222755102:02:015:0001 та земельна ділянка, загальною  площею 14.0534 га, К/Н: 3222755102:02:015:0002, за адресою: Київська область, Макарівський район, селищна рада Макарівська","Торги не відбулися","Земельні ділянки",м.Київ,,409949,14707431.00,
"Знаряддя лову ""Бредень""","Торги відбулися",Інше,"Хмельницька обл.","Учасник №1",410214,112.50,120.00
"ІПОТЕКА. Житловий будинок, загальною площею 32,1 кв.м., з господарськими будівлями та спорудами, за адресою: м. Запоріжжя, вул. Янтарна, буд. 4","Торги не відбулися","Житлова нерухомість","Запорізька обл.",,410215,131099.20,
"ІПОТЕКА. 1/3 частина трикімнатної квартири, загальною площею 68,04 кв.м., за адресою: м. Запоріжжя, вул. Вороніна, буд. 25, кв. 12","Торги не відбулися","Житлова нерухомість","Запорізька обл.",,410216,109183.20,
"Предмет іпотеки. Земельна ділянка, загальною площею 0.25 га, кадастровий номер: 5624684100:03:015:0136, місцезнаходження майна: Рівненська область, Рівненський район, с. Дядьковичі","Торги не відбулися","Земельні ділянки","Рівненська обл.",,410152,157550.00,
"ІПОТЕКА. 1/3 частина трикімнатної квартири, загальною площею 68,04 кв.м., за адресою: м. Запоріжжя, вул. Вороніна, буд. 25, кв. 12","Торги не відбулися","Житлова нерухомість","Запорізька обл.",,410217,109183.20,
"ІПОТЕКА. 1/3 частина трикімнатної квартири, загальною площею 68,04 кв.м., за адресою: м. Запоріжжя, вул. Вороніна, буд. 25, кв. 12","Торги не відбулися","Житлова нерухомість","Запорізька обл.",,410218,109183.20,
"ІПОТЕКА:двоповерховий житловий будинок заг.пл. 243,2 кв.м. з допоміжними будівлями та спорудами,розташований на земельній ділянці 0,2080 га, за адресою: Харківська область, Харківський район, с. Пономаренки, вул. Підгірна, буд.2","Торги відбулися","Житлова нерухомість","Харківська обл.","Учасник №4",410201,339079.61,401250.00
"Брухт чорного металу – 160 кг.","Торги відбулися",Брухт,"Донецька обл.","Учасник №1",410221,580.80,580.80
"Іпотека.  Будівлі та споруди механізованого току загальною площею 3683,77 кв.м. за адресою: Дніпропетровська обл., Магдалинівський р., сщ. Приорільське, вул. Нова, буд. 29","Торги не відбулися",Будівлі,"Дніпропетровська обл.",,410193,2096800.00,
"Земельна ділянка для ведення особистого селянського господарства, площею 2 га, кадастровий № 5324587200:00:001:0184, що розташована за адресою: Полтавська область, Семенівський район, с/рада Стапанівська","Торги відбулися","Земельні ділянки","Полтавська обл.","Учасник №6",410211,80200.00,80201.00
"Металевий балон з хладогентом, іноземного виробництва, згідно маркування марки ""404А"", вагою 10,9 кг, у кількості 6 шт","Торги відбулися",Інше,"Чернівецька обл.","Учасник №5",410229,7481.25,9351.55
"Металевий балон з хладогентом, іноземного виробництва, згідно маркування марки ""134А"", вагою 13,6 кг, у кількості 7 шт","Торги відбулися",Інше,"Чернівецька обл.","Учасник №5",410230,8122.50,9747.02
"ІПОТЕКА.Житловий будинок літ.""А-1"",заг.пл. 37,1 кв.м. з госп.буд-ми та спорудами,зем.ділянка заг.пл.0,10 га,кад.№5910191500:01:005:0189,зем.ділянка заг.пл.0,2157 га, кад.№5910191500:01:005:0190,за адресою:Сумська обл.,м.Суми,с.Піщане,вул.Шкільна,46","Торги не відбулися","Житлова нерухомість","Сумська обл.",,407646,184326.00,
"Предмет іпотеки. Однокімнатна квартира загальною площею 35.0 м.кв., житловою площею 18.7 м.кв., що знаходиться за адресою: м. Суми, вул. Менделєєва, буд. 4, кв. 108","Торги не відбулися","Житлова нерухомість","Сумська обл.",,410233,305776.00,
"Предмет іпотеки. Одноповерхова нежитлова будівля фруктосховища загальною площею 1128,4 м.кв., що знаходиться за адресою: Сумська обл., Шосткинський р-н, с. Клишки, вул. Калініна, 130","Торги не відбулися",Будівлі,"Сумська обл.",,410235,64992.00,
"Транспортний засіб LIFAN 320, 2012 року випуску, ДНЗ ВН4278EE, номер кузову: LLV1C2A11C0033575","Торги відбулися","Легкові автомобілі","Одеська обл.","Учасник №40",410241,51877.50,58102.82
"ІПОТЕКА.  Нежитлове приміщення магазину-кафе-бару ""Люкс"", заг.пл. 499,4 кв.м. та земельна ділянка заг.пл. 0,0993 га, кадастровий № 6820355600:01:005:0001, за адресою: Хмельницька обл., Білогірський р-н, смт. Ямпіль, вул. Чернавіна, 41А","Торги не відбулися",Будівлі,"Хмельницька обл.",,407164,868640.00,
"ІПОТЕКА. Вбудоване приміщення магазину загальною площею 46.4 м.кв., за адресою: Херсонська область, Олешківський район, м. Олешки, Житлоселище, буд. 13, кв. 3","Торги відбулися","Комерційна нерухомість","Херсонська обл.","Учасник №18",410244,299280.00,508776.00
"ІПОТЕКА. Однокімнатна квартира загальною площею  33,4 м.кв., розташована за адресою: Херсонська область, Генічеський район, м. Генічеськ, вул Ковпака, буд. 27, кв. 58","Торги не відбулися","Житлова нерухомість","Херсонська обл.",,410247,209137.60,
"ІПОТЕКА. Житловий будинок, загальною площею 76.10 кв.м., та земельна ділянка, площею 0.0710 га., за адресою: Київська обл., м. Обухів, садове товариство ""Вікторія"", буд. 21","Торги не відбулися","Житлова нерухомість",м.Київ,,410251,149100.00,
"ІПОТЕКА. Земельна ділянка, площею 1,012 га., К/Н: 3222482000:05:008:0325, що розташована за адресою: Київська обл., Києво-Святошинський р-н, с.Гореничі, вул.Польова","Торги не відбулися","Земельні ділянки",м.Київ,,410253,2763540.00,
"ІПОТЕКА. Садовий будинок, заг. площею 170.70 кв.м. та земельна ділянка, площею 0.0624 га, К/Н: 8000000000:75:751:0014, за адресою:. м. Київ, СТ ""Врожай"" (Святошинський р-н), вул. Мало-Садова, буд. 22","Складання акту","Житлова нерухомість","Київська обл.","Учасник №7",410254,1372960.00,1372960.00
"Іпотека:Земельна ділянка, загальною площею 0.1001 га кадастровий номер 3210945600:01:082:0059,що розташована за адресою:Київська обл.,м.Ірпінь,смт.Ворзель,вул.Миру 53","Торги припинено","Земельні ділянки","Київська обл.",,410257,158024.00,
"Автомобіль марки VOLKSWAGEN PASSAT, 1996 р.в., державний номерний знак 3219КТ-1 (BY), № кузову WVWZZZ3BZVE017317","Торги відбулися","Легкові автомобілі","Волинська обл.","Учасник №8",410256,59865.00,74232.60
"Нежитлова будівля (дміністративно-побутовий корпус), загальною площею 4607,9 кв.м., за адресою: Донецька обл.,  вул. Під’їздна, 3, м. Слов’янськ","Торги відбулися",Будівлі,"Донецька обл.","Учасник №9",410262,557560.00,568711.20
"ІПОТЕКА: Однокімнатна квартира № 17, загальною площею 42,30 кв.м., що знаходиться за адресою: Київська область, Бориспільський район, с. Любарці, вул. Леніна, 54","Торги не відбулися","Житлова нерухомість","Київська обл.",,410264,253050.00,
"ІПОТЕКА: Домоволодіння, площею 59,4 кв.м., що розташоване на земельній ділянці площею 0,2500 га, К/Н 3221086801:02:001:0006, що знаходяться за адресою: Київська область, Бородянський район, с. Нова Гребля, вул. Шевченка, 54","Торги не відбулися","Житлова нерухомість","Київська обл.",,410266,195485.05,
"ІПОТЕКА: Нежитлова будівля -  магазин-офіс, загальною площею 432,6 кв.м., та земельна ділянка площею 0,0423 га, К/Н 2621210300:01:001:0462, що знаходяться за адресою: Івано-Франківська область, м. Бурштин, вул. Калуська, буд. 6-г","Торги не відбулися","Нежитлове приміщення",м.Київ,,410268,1842720.00,
"ІПОТЕКА. Нежилі приміщення № 1,2,3 (групи приміщень №412) (літера Ф), загальною площею 154,60 кв.м., що знаходяться за адресою: м.Київ, вул.Дегтярівська, буд 25-А, корп.1","Торги не відбулися","Нежитлове приміщення","Київська обл.",,409965,6690840.00,
"Іпотека. Нежитлова будівля «Е» (їдальня) загальною площею 364,8 кв.м, за адресою Дніпропетровська обл., м. Марганець, вулиця Пушкіна, 2-а","Торги не відбулися",Будівлі,"Дніпропетровська обл.",,410277,232000.00,
"ІПОТЕКА: Житловий будинок загальною площею 345,7 кв.м. з надвірними будівлями та земельна ділянка площею 0,15 га кадастровий №6325185001:00:033:0033 за адресою: Харківська обл., с. Циркуни, вул. Родникова, 6","Торги не відбулися","Житлова нерухомість","Харківська обл.",,410281,1265000.00,
"ІПОТЕКА: Земельна ділянка площею 0,1646 га кадастровий № 6325156700:00:016:0125, що знаходиться за адресою: Харківська обл., Харківський район, смт. Високий, вул. Докучаєва, 1","Торги не відбулися","Земельні ділянки","Харківська обл.",,410296,85260.00,
"ІПОТЕКА. Будівля торгівельно-побутового комплексу, А-ІІІ, заг. пл. 2901,6 кв.м.; буд. КПП, Б-ІІ, заг. пл. 15,6 кв.м.; буд. КТП, В-І, заг.пл. 6,6 кв.м.; споруда ГРП, Г; огорожа №1-5, за адресою: Київська обл, Бориспільський р-н с. Проліски, вул. Кільцева, 4","Торги не відбулися","Комерційна нерухомість",м.Київ,,410248,28793580.00,
"Добровільний продаж. Деревообробне підприємство, загальною площею 7562.9 кв.м, що знаходиться за адресою: Київська обл., Вишгородський р-н, с. Ясногородка, вул. Колективна 16-В","Торги не відбулися","Промислова нерухомість","Київська обл.",,410295,5760000.00,
"ІПОТЕКА: Земельна ділянка, площею 0.1625 га, К/Н 3221886001:03:272:0006, за адресою: Київська обл., Вишгородський р-н, с. Нові Петрівці, масив ""Польовий""","Торги не відбулися","Земельні ділянки",м.Київ,,410299,288028.00,
"ІПОТЕКА: Земельна ділянка, площею 0.1890 га, К/Н 3220881700:04:002:1228, за адресою: Київська обл., Бориспільський р-н, с. Жовтневе","Торги не відбулися","Земельні ділянки",м.Київ,,410302,176000.00,
"ІПОТЕКА: Квартира № 12, загальною площею 126.60 кв.м., за адресою: м. Київ, вул. Бориса Гмирі, 6","Торги не відбулися","Житлова нерухомість",м.Київ,,410304,2152619.00,
"Комплекс нежитлових будівель, загальною площею 8048,6 кв.м. за адресою Хмельницька обл., Шепетівський р-н, с. Коськів, вул. Лесі Українки,  33-а","Торги відбулися",Будівлі,"Хмельницька обл.","Учасник №3",410226,714562.00,729000.00
"ІПОТЕКА. Житловий будинок з прибудовою, загальною площею 54,6 кв.м. за адресою: Запорізька область, Василівський район, м. Василівка, пров. Армійський (Красноармійський), буд. 2","Торги не відбулися","Житлова нерухомість","Запорізька обл.",,409506,82670.00,
"Телевізор, б/в","Торги не відбулися",Телевізори,"Волинська обл.",,410308,10.00,0.00
"Чашки для кави (малі) в кількості 12 шт","Торги відбулися",Інше,"Івано-Франківська обл.","Учасник №1",410310,90.00,90.00
Стіл-бочка,"Торги відбулися",Меблі,"Івано-Франківська обл.","Учасник №2",410312,60.00,60.00
"Стіл у кількості 5 шт","Торги відбулися",Меблі,"Івано-Франківська обл.","Учасник №2",410313,250.00,262.50
"Дерев'яні лавки в кількості 2 шт","Торги відбулися",Меблі,"Івано-Франківська обл.","Учасник №2",410316,200.00,200.00
"Табурети високі у кількості 2 шт","Торги відбулися",Меблі,"Івано-Франківська обл.","Учасник №1",410317,60.00,63.00
"Аудіопрогравач марки Tomson, б/в","Торги відбулися",Аудіотехніка,"Волинська обл.","Учасник №2",410318,10.00,105.30
"ІПОТЕКА: Виробничі та офісні приміщення, загальною площею 600,00 кв.м, за адресою: вул. Горбачевського, буд. 11, м. Івано-Франківськ, Івано-Франківська область","Торги не відбулися","Комерційна нерухомість","Івано-Франківська обл.",,410319,2406099.20,
"ДВД програвач, б/в ","Очікування сплати",Аудіотехніка,"Волинська обл.","Учасник №7",410322,10.00,51.20
"Динамік, б/в","Складання акту",Аудіотехніка,"Волинська обл.","Учасник №1",410326,10.00,23.45
"Акустична система 3NOD, S122, б/в","Складання акту",Аудіотехніка,"Волинська обл.","Учасник №2",410329,10.00,21.21
"ІПОТЕКА: Земельна ділянка площею 0.0931 га, К/Н 8000000000:72:499:0019, що знаходиться за адресою: м. Київ, вул. Совська, 26","Торги не відбулися","Земельні ділянки",м.Київ,,410344,470000.00,
"ІПОТЕКА: Двокімнатна квартира, загальною площею 43,3 кв.м., що знаходиться за адресою: Київська область, Броварський район, село Світильня, вул. Макаренка, буд. 19, кв. 4","Торги не відбулися","Житлова нерухомість",м.Київ,,410350,159000.00,
"ІПОТЕКА: Земельна ділянка (кадастровий номер: 2611093001:16:004:0168) площею 0.25 га, за адресою: вул. Горішків, с. Яблуниця, Яремчанська міська рада, Івано-Франківська область","Торги не відбулися","Земельні ділянки","Івано-Франківська обл.",,410109,479525.00,
"ІПОТЕКА: Нежиле приміщення в літ. ""Л"", загальною площею 322.90 кв.м., за адресою: м. Київ, вул. Вадима Гетьмана (Індустріальна), 27","Торги відбулися","Нежитлове приміщення",м.Київ,"Учасник №16",410353,6706630.00,6706650.00
"ІПОТЕКА. Житловий будинок загальною площею 221,5 кв.м. з прибудовою, за адресою: Харківська обл.,Вовчанський район,с.Хотімля, вул.Польова, буд.29","Торги не відбулися","Житлова нерухомість","Харківська обл.",,410354,367500.00,
"Земельна ділянка, загальною площею 2.9211 га, кадастровий номер 3222783800:03:001:0020, що знаходиться за адресою: Київська обл., Макарівський р-н, Липівська с/р","Торги відбулися","Земельні ділянки","Київська обл.","Учасник №1",410362,191390.50,191391.00
"Земельна ділянка, загальною площею 3.0712 га, кадастровий номер 3222783800:03:001:0021, що знаходиться за адресою: Київська обл., Макарівський р-н, Липівська с/р","Торги відбулися","Земельні ділянки","Київська обл.","Учасник №1",410364,200150.30,200151.00
"ІПОТЕКА: Нежитлова будівля (МАЙСТЕРНЯ) загальною площею 19,8 кв.м, за адресою: вул. Гетьманська, буд. № 11, м. Коломия, Івано-Франківська область","Торги відбулися","Нежитлове приміщення","Івано-Франківська обл.","Учасник №20",410368,43939.00,168000.00
"Предмет іпотеки. Двокімнатна квартира загальною площею 47.8 кв.м., житловою 30.1 кв.м. за адресою: Житомирська обл.,  м. Коростишів, вул. Різдвяна (Рози Люксембург) 1, кв. 67","Торги не відбулися","Житлова нерухомість","Житомирська обл.",,410370,278495.67,
"ІПОТЕКА. Теплогенераторна (літ. А-2), приміщення №1 (літ. А-1), заг. пл. 410,4 кв.м., за адресою: м. Запоріжжя, вул. Миколи Краснова, буд. 1а","Торги не відбулися","Комерційна нерухомість","Запорізька обл.",,410292,1296043.00,
"Автомобіль марки ВАЗ, модель 2104, 1985 р.в., номер кузова ХТА210400F0007255, Дер./номер АЕ8497АХ","Торги відбулися","Легкові автомобілі","Дніпропетровська обл.","Учасник №19",410386,8325.00,8701.25
"Предмет іпотеки. Нежитлова будівля магазину літ. ""А-І"", заг. пл. 288,4 м.кв., земельна ділянка пл. 0,1129 га, кадастровий № 5910500000:01:016:0003, за адресою: Сумська обл., м. Лебедин, вул. Сумська, 109","Торги не відбулися","Комерційна нерухомість","Сумська обл.",,410389,667793.70,
"Предмет іпотеки. Квартира № 48, загальною площею 64,1 м.кв., житловою площею 40,0 м.кв., що знаходиться за адресою: Сумська обл., Ямпільський р-н, смт. Свеса, вул. Куйбишева, буд. 3, кв. 48","Торги не відбулися","Житлова нерухомість","Сумська обл.",,410390,116060.00,
"ІПОТЕКА.Чотирикімнатна квартира, загальною площею 115,2 кв.м, житловою – 67,6 кв.м, що знаходиться за адресою: Волинська область, Ковельський район, смт. Люблинець, вул. Лесі Українки,13 кв. 10","Торги не відбулися","Житлова нерухомість","Волинська обл.",,410392,330773.60,
"ІПОТЕКА.Житловий будинок(літера А-2), заг.пл. 190,1 кв.м. з господарськими та побутовими будівлями і спорудами та земельна ділянка пл.0,1300 га,к.н. 0722855400:01:001:0245, що знаходиться за адресою:Волинська обл.,Луцький р-н.,смт.Торчин, вул.Набережна, 4 ","Торги не відбулися","Житлова нерухомість","Волинська обл.",,410391,644700.00,
"Іпотека. Житловий будинок загальною площею 228,00 кв.м. з будівлями та спорудами за адресою: Дніпропетровська обл., Новомосковський р-н, с.Хуторо-Губиниха, вул. Молодіжна, 1","Торги не відбулися","Житлова нерухомість","Дніпропетровська обл.",,410398,378252.00,
"ПРЕДМЕТ ІПОТЕКИ. Житловий будинок, загальною площею 44,76 кв. м, розташований за адресою: вул. Корольова, буд. 20, с. Грузьке, Голованівський р-н, Кіровоградська обл.","Торги не відбулися","Житлова нерухомість","Кіровоградська обл.",,410409,12800.00,
"ІПОТЕКА. Комплекс нежитлових будівель (АТП - автотранспортне підприємство), 4 од. , загальною площею 1656,9 кв.м, за адресою: Донецька обл., вул. Тургенєва, 36, м. Бахмут","Торги відбулися",Будівлі,"Донецька обл.","Учасник №4",410393,490000.00,843500.00
"Предмет іпотеки. Двокімнатна квартира загальною площею 43.25 кв.м., житловою площею 28.2 кв.м., за адресою: м. Житомир, вул. М.Грушевського (Котовського), буд.6, кв.18","Торги не відбулися","Житлова нерухомість","Житомирська обл.",,410380,579247.00,
"Іпотека. Нежитлова будівля А-1 загальною площею 1235,8 кв.м. за адресою: Дніпропетровська обл., м.Кривий Ріг, вул. Окружна, буд. 3 г","Торги не відбулися",Будівлі,"Дніпропетровська обл.",,410413,1333500.70,
"Іпотека. Однокімнатна квартира загальною площею 34,8 кв.м. за адресою: Дніпропетровська обл., м.Кривий Ріг, вул. Погребняка, б. 37, кв. 33","Складання акту","Житлова нерухомість","Дніпропетровська обл.","Учасник №6",410418,98686.70,98686.70
